0,1
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-18.png,affect
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-20.png,material
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-83.png,senior
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-05.png,bring
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-67.png,away
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-42.png,within
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-70.png,cup
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-86.png,produc
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-58.png,heavy
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-09.png,business
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-30.png,sourc
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-72.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-90.png,ild
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-53.png,ttle
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-12.png,doctor
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-03.png,fish
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-61.png,much
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-43.png,gun
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-86.png,note
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-15.png,many
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-61.png,left
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-71.png,e
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-02.png,difference
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-63.png,policy
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-31.png,chance
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-39.png,past
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-54.png,store
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-47.png,trouble
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-70.png,position
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-31.png,top
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-68.png,experience
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-02.png,both
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-81.png,family
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-52.png,write
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-40.png,k
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-06-36.png,party
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-25.png,garden
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-50.png,step
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-79.png,because
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-24.png,catch
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-94.png,bit
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-29.png,where
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-26.png,generation
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-82.png,h
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-18.png,capital
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-31.png,key
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-67.png,y
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-23.png,during
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-38.png,wide
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-00.png,finish
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-10-03.png,usually
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-49.png,happy
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-00.png,qua
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-04-70.png,lie
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-21.png,drop
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-50.png,try
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-70.png,t
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-91.png,number
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-17.png,sm
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-01-85.png,decade
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-51.png,road
