0,1
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-39.png,Li
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-72.png,summer
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-37.png,his
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-23.png,might
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-05-96.png,be
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-09-79.png,decimal
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-04-99.png,a
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-39-60.png,to
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-02.png,force
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-95.png,move
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-08-23.png,collapse
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-20.png,all
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-29-07.png,polesl
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-78.png,onder
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-94.png,reference
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-19-95.png,just
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-34.png,theorem
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-00-35.png,although
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-13-20.png,film
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-17-73.png,interactions
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-30-25.png,Python
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-08-03.png,sign
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-86.png,measure
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-03-93.png,around
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-78.png,lotsof
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-34-96.png,stateproperties
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-07-09.png,ras
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-35-49.png,stranded
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-03-24.png,game
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-02-01.png,air
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-23-42.png,moments
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-14-92.png,game
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-79.png,drive
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-36-70.png,test
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-16-14.png,heat
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-10.png,thesled
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-75.png,personal
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-33-45.png,similar
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-19-08.png,is
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-25-77.png,ofasimilarscaleto
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-05-37.png,middle
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-00-75.png,2
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-35.png,eight
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-40-78.png,tree
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-12-53.png,exhibit
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-25.png,past
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-29.png,liquid
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-26-62.png,of
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-22-54.png,man
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-17-00.png,if
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-66.png,the
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-07-91.png,church
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-37-07.png,thesame
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-28-89.png,picture
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-31-47.png,results
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-09-34.png,tough
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-53.png,ess
jeremy_words_dataset\jeremy_words\z01\z01-000\z01-000-02-57.png,everybody
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-43-55.png,whale
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-04-70.png,a
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-21-81.png,lowcost
jeremy_words_dataset\jeremy_words\z02\z02-000\z02-000-10-56.png,dog
